student_key,year,month,att_month_pct,att_cum_pct,att_delta,practice_pct,checkpoint_pct,exam_avg_score,new_attempts_month,max_silent_weeks,streak_weeks,month_index,churned_next_month,grade,live_or_replay,old_new,signup_lateness,n_subjects,months_enrolled
2568-1125,2568,2025-03,100.0,100.0,,50.0,25.0,81.32499999999999,4,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1130,2568,2025-03,75.0,75.0,,33.333333333333336,33.333333333333336,85.3,2,0,3,1,0.0,ม.3,สด,new,0,3,1
2568-1131,2568,2025-03,76.47058823529412,76.47058823529412,,25.0,75.0,93.15,2,0,0,1,0.0,ม.3,เทป,new,0,4,1
2568-1132,2568,2025-03,88.23529411764706,88.23529411764706,,50.0,100.0,89.2,5,0,5,1,0.0,ม.2,สด,new,0,4,1
2568-1133,2568,2025-03,100.0,100.0,,37.5,75.0,86.93333333333334,3,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1135,2568,2025-03,76.47058823529412,76.47058823529412,,37.5,75.0,75.7,3,0,1,1,0.0,ม.3,สด,old,0,4,1
2568-1137,2568,2025-03,94.11764705882352,94.11764705882352,,50.0,75.0,80.05,4,0,5,1,0.0,ม.2,เทป,new,0,4,1
2568-1139,2568,2025-03,68.75,68.75,,25.0,100.0,72.89999999999999,3,0,0,1,0.0,ม.2,สด,new,0,4,1
2568-1140,2568,2025-03,84.61538461538461,84.61538461538461,,50.0,100.0,89.65,4,0,0,1,0.0,ม.3,เทป,old,0,3,1
2568-1141,2568,2025-03,83.33333333333334,83.33333333333334,,33.333333333333336,100.0,79.95,2,0,0,1,0.0,ม.2,เทป,new,0,3,1
2568-1142,2568,2025-03,68.75,68.75,,25.0,25.0,82.35,2,0,2,1,0.0,ม.2,เทป,new,0,4,1
2568-1143,2568,2025-03,100.0,100.0,,50.0,66.66666666666667,85.60000000000001,3,0,5,1,0.0,ม.3,สด,old,0,3,1
2568-1144,2568,2025-03,62.5,62.5,,50.0,100.0,77.95,2,0,0,1,0.0,ม.3,เทป,new,0,2,1
2568-1145,2568,2025-03,81.25,81.25,,37.5,75.0,89.05000000000001,4,0,3,1,0.0,ม.1,เทป,new,0,4,1
2568-1146,2568,2025-03,69.23076923076923,69.23076923076923,,16.666666666666668,0.0,69.2,1,0,0,1,0.0,ม.3,สด,old,0,3,1
2568-1147,2568,2025-03,37.5,37.5,,12.5,50.0,66.4,1,0,0,1,0.0,ม.3,เทป,new,0,4,1
2568-1148,2568,2025-03,84.61538461538461,84.61538461538461,,33.333333333333336,66.66666666666667,65.95,2,0,1,1,0.0,ม.3,สด,old,0,3,1
2568-1150,2568,2025-03,91.66666666666666,91.66666666666666,,16.666666666666668,100.0,65.95,2,0,0,1,0.0,ม.2,สด,new,0,3,1
2568-1151,2568,2025-03,76.92307692307693,76.92307692307693,,33.333333333333336,66.66666666666667,84.0,2,0,0,1,0.0,ม.3,สด,new,0,3,1
2568-1152,2568,2025-03,62.5,62.5,,37.5,50.0,79.43333333333332,3,0,1,1,0.0,ม.3,สด,new,0,4,1
2568-1155,2568,2025-03,50.0,50.0,,0.0,33.333333333333336,,0,1,0,1,0.0,ม.2,เทป,new,0,3,1
2568-1156,2568,2025-03,56.25,56.25,,25.0,50.0,76.6,2,0,2,1,0.0,ม.3,สด,new,0,4,1
2568-1157,2568,2025-03,100.0,100.0,,37.5,100.0,67.43333333333334,3,0,5,1,0.0,ม.1,สด,new,0,4,1
2568-1158,2568,2025-03,82.35294117647058,82.35294117647058,,50.0,100.0,91.93333333333334,6,0,3,1,0.0,ม.2,สด,new,0,4,1
2568-1002,2568,2025-04,72.22222222222221,70.58823529411765,3.4722222222222143,56.25,75.0,78.72222222222223,5,0,2,2,0.0,ม.1,สด,new,0,4,2
2568-1003,2568,2025-04,58.82352941176471,63.63636363636363,-9.92647058823529,25.0,75.0,65.2,4,0,0,2,0.0,ม.3,สด,new,0,4,2
2568-1004,2568,2025-04,77.77777777777779,61.76470588235294,34.027777777777786,50.0,100.0,75.78999999999999,8,0,2,2,0.0,ม.2,สด,new,0,4,2
2568-1005,2568,2025-04,77.77777777777779,65.71428571428571,24.836601307189547,31.25,50.0,77.1,5,0,4,2,0.0,ม.3,เทป,old,0,4,2
2568-1006,2568,2025-04,66.66666666666666,72.0,-10.256410256410277,50.0,66.66666666666667,78.78571428571426,5,0,0,2,0.0,ม.3,สด,new,0,3,2
2568-1007,2568,2025-04,57.14285714285714,57.14285714285714,,37.5,0.0,68.2,3,0,0,2,0.0,ม.3,สด,new,1,4,1
2568-1008,2568,2025-04,56.25,56.25,,25.0,0.0,70.5,3,0,0,2,0.0,ม.2,สด,old,1,4,1
2568-1010,2568,2025-04,83.33333333333334,83.33333333333334,,43.75,0.0,74.6,4,0,4,2,0.0,ม.2,สด,new,1,4,1
2568-1012,2568,2025-04,100.0,100.0,0.0,62.5,50.0,90.97999999999999,4,0,9,2,0.0,ม.2,สด,new,0,2,2
2568-1013,2568,2025-04,69.23076923076923,69.23076923076923,,31.25,0.0,91.96666666666665,3,0,1,2,0.0,ม.2,สด,old,1,4,1
2568-1014,2568,2025-04,80.0,80.55555555555556,-1.25,37.5,75.0,76.2,6,0,7,2,0.0,ม.2,เทป,old,0,4,2
2568-1016,2568,2025-04,88.23529411764706,82.35294117647058,11.764705882352942,56.25,50.0,93.36250000000001,4,0,9,2,0.0,ม.3,เทป,new,0,4,2
2568-1017,2568,2025-04,68.42105263157895,74.28571428571429,-12.828947368421055,50.0,75.0,79.75555555555556,8,0,0,2,0.0,ม.3,สด,new,0,4,2
2568-1018,2568,2025-04,70.0,70.0,,25.0,0.0,80.75,2,0,0,2,0.0,ม.2,สด,new,1,3,1
2568-1020,2568,2025-04,85.71428571428571,85.71428571428571,,37.5,0.0,81.9,4,0,4,2,0.0,ม.3,เทป,new,1,4,1
2568-1021,2568,2025-04,100.0,88.23529411764706,23.529411764705884,56.25,100.0,88.52727272727273,8,0,7,2,0.0,ม.2,สด,old,0,4,2
2568-1022,2568,2025-04,54.54545454545454,45.83333333333333,16.083916083916073,58.333333333333336,66.66666666666667,73.17142857142858,5,0,0,2,0.0,ม.3,เทป,new,0,3,2
2568-1023,2568,2025-04,62.5,62.5,,50.0,0.0,94.85,2,1,1,2,0.0,ม.2,สด,new,1,2,1
2568-1024,2568,2025-04,87.5,87.5,,25.0,0.0,66.1,1,0,2,2,0.0,ม.1,เทป,new,1,2,1
2568-1025,2568,2025-04,85.71428571428571,68.75,30.15873015873015,12.5,50.0,84.30000000000001,2,0,3,2,0.0,ม.1,สด,new,0,2,2
2568-1026,2568,2025-04,66.66666666666666,70.58823529411765,-8.333333333333343,43.75,100.0,70.5625,5,0,3,2,0.0,ม.2,สด,new,0,4,2
2568-1027,2568,2025-04,87.5,93.93939393939394,-12.5,75.0,100.0,78.83999999999999,11,0,9,2,0.0,ม.3,สด,new,0,4,2
2568-1028,2568,2025-04,100.0,93.93939393939394,11.111111111111114,62.5,75.0,83.97,6,0,9,2,0.0,ม.2,สด,new,0,4,2
2568-1029,2568,2025-04,93.75,97.05882352941177,-6.25,56.25,100.0,90.69,7,0,9,2,0.0,ม.1,สด,new,0,4,2
2568-1030,2568,2025-04,100.0,96.96969696969697,6.25,62.5,75.0,84.26666666666667,8,0,9,2,0.0,ม.2,สด,new,0,4,2
2568-1031,2568,2025-04,66.66666666666666,64.70588235294117,4.166666666666657,37.5,25.0,71.27142857142857,5,0,0,2,0.0,ม.1,สด,new,0,4,2
2568-1032,2568,2025-04,100.0,100.0,0.0,75.0,50.0,84.66363636363634,7,0,9,2,0.0,ม.2,สด,new,0,4,2
2568-1033,2568,2025-04,88.88888888888889,76.47058823529412,26.388888888888886,50.0,50.0,68.9,4,0,0,2,0.0,ม.3,สด,new,0,2,2
2568-1034,2568,2025-04,80.0,80.0,,50.0,0.0,73.95,4,0,0,2,0.0,ม.2,สด,new,1,3,1
2568-1035,2568,2025-04,57.14285714285714,57.14285714285714,,37.5,0.0,60.699999999999996,2,1,1,2,0.0,ม.2,สด,new,1,2,1
2568-1036,2568,2025-04,70.58823529411765,70.58823529411765,0.0,56.25,75.0,78.85,6,0,1,2,0.0,ม.2,เทป,new,0,4,2
2568-1037,2568,2025-04,100.0,100.0,0.0,66.66666666666667,100.0,93.675,6,0,9,2,0.0,ม.1,เทป,new,0,3,2
2568-1038,2568,2025-04,58.333333333333336,48.0,19.87179487179487,25.0,66.66666666666667,80.32499999999999,2,0,0,2,0.0,ม.3,เทป,new,0,3,2
2568-1040,2568,2025-04,57.14285714285714,50.0,15.476190476190467,33.333333333333336,66.66666666666667,72.74,5,0,1,2,0.0,ม.1,เทป,new,0,3,2
2568-1041,2568,2025-04,76.47058823529412,74.28571428571429,4.248366013071902,56.25,25.0,71.95555555555558,6,0,0,2,0.0,ม.2,สด,new,0,4,2
2568-1042,2568,2025-04,91.66666666666666,91.66666666666666,,37.5,0.0,86.4,2,0,4,2,0.0,ม.1,สด,new,1,4,1
2568-1043,2568,2025-04,47.05882352941176,54.54545454545454,-15.441176470588239,31.25,50.0,70.96,3,0,0,2,0.0,ม.2,สด,new,0,4,2
2568-1044,2568,2025-04,50.0,35.294117647058826,27.77777777777778,25.0,0.0,73.05,1,1,1,2,0.0,ม.3,สด,new,0,2,2
2568-1045,2568,2025-04,100.0,100.0,0.0,68.75,100.0,89.35714285714286,10,0,9,2,0.0,ม.3,สด,old,0,4,2
2568-1046,2568,2025-04,94.44444444444444,91.17647058823529,6.944444444444443,75.0,100.0,86.47142857142856,8,0,9,2,0.0,ม.3,สด,new,0,4,2
2568-1047,2568,2025-04,82.35294117647058,70.58823529411765,23.52941176470587,50.0,75.0,73.6,6,0,6,2,0.0,ม.2,เทป,old,0,4,2
2568-1048,2568,2025-04,100.0,100.0,0.0,58.333333333333336,100.0,85.72,7,0,9,2,0.0,ม.2,สด,new,0,3,2
2568-1049,2568,2025-04,60.0,59.25925925925925,1.6666666666666643,58.333333333333336,33.333333333333336,73.92857142857143,4,0,0,2,0.0,ม.2,สด,new,0,3,2
2568-1050,2568,2025-04,77.77777777777779,74.28571428571429,7.189542483660134,37.5,75.0,81.86666666666667,4,0,1,2,0.0,ม.3,สด,new,0,4,2
2568-1051,2568,2025-04,37.5,47.05882352941176,-18.055555555555557,37.5,100.0,65.06,4,1,0,2,0.0,ม.2,สด,new,0,2,2
2568-1052,2568,2025-04,94.44444444444444,91.17647058823529,6.944444444444443,75.0,75.0,90.51666666666667,7,0,7,2,0.0,ม.3,เทป,old,0,4,2
2568-1053,2568,2025-04,87.5,76.47058823529412,20.833333333333343,62.5,100.0,70.89999999999999,3,0,2,2,0.0,ม.3,สด,new,0,2,2
2568-1054,2568,2025-04,100.0,100.0,,41.666666666666664,0.0,86.06666666666668,3,0,4,2,0.0,ม.2,สด,new,1,3,1
2568-1055,2568,2025-04,70.58823529411765,67.64705882352942,5.882352941176478,56.25,50.0,77.36666666666666,5,0,0,2,0.0,ม.3,เทป,new,0,4,2
2568-1056,2568,2025-04,61.111111111111114,67.64705882352942,-13.888888888888886,62.5,25.0,73.96249999999999,5,0,0,2,0.0,ม.2,สด,new,0,4,2
2568-1057,2568,2025-04,100.0,100.0,0.0,62.5,75.0,89.16,7,0,9,2,0.0,ม.3,สด,new,0,4,2
2568-1058,2568,2025-04,100.0,100.0,0.0,62.5,100.0,88.3,5,0,9,2,0.0,ม.1,สด,new,0,2,2
2568-1059,2568,2025-04,100.0,100.0,,41.666666666666664,0.0,76.86666666666667,3,0,4,2,0.0,ม.2,สด,new,1,3,1
2568-1061,2568,2025-04,68.75,72.72727272727273,-7.720588235294116,50.0,100.0,73.86363636363636,5,0,1,2,0.0,ม.3,สด,new,0,4,2
2568-1066,2568,2025-04,66.66666666666666,66.66666666666666,0.0,56.25,25.0,63.38888888888888,6,0,0,2,0.0,ม.2,เทป,new,0,4,2
2568-1068,2568,2025-04,100.0,100.0,0.0,66.66666666666667,100.0,88.275,5,0,9,2,0.0,ม.3,สด,new,0,3,2
2568-1069,2568,2025-04,87.5,91.42857142857143,-7.23684210526315,56.25,50.0,80.21000000000001,6,0,9,2,0.0,ม.3,สด,old,0,4,2
2568-1070,2568,2025-04,64.28571428571429,73.07692307692307,-19.04761904761905,75.0,66.66666666666667,78.33000000000001,7,0,0,2,0.0,ม.3,เทป,new,0,3,2
2568-1071,2568,2025-04,76.92307692307693,84.61538461538461,-15.384615384615373,50.0,100.0,89.7625,6,0,2,2,0.0,ม.2,เทป,new,0,3,2
2568-1072,2568,2025-04,50.0,55.55555555555556,-12.5,25.0,100.0,69.375,2,1,1,2,0.0,ม.3,สด,new,0,2,2
2568-1073,2568,2025-04,58.333333333333336,58.333333333333336,,31.25,0.0,76.975,4,0,0,2,0.0,ม.3,เทป,new,1,4,1
2568-1074,2568,2025-04,22.22222222222222,32.35294117647059,-21.52777777777778,12.5,50.0,52.9,3,1,0,2,0.0,ม.1,สด,new,0,4,2
2568-1076,2568,2025-04,82.35294117647058,69.6969696969697,26.10294117647058,62.5,100.0,81.80833333333334,8,0,3,2,0.0,ม.2,สด,old,0,4,2
2568-1077,2568,2025-04,80.0,80.0,,43.75,0.0,80.31666666666665,6,0,2,2,0.0,ม.1,สด,old,1,4,1
2568-1079,2568,2025-04,78.57142857142857,78.57142857142857,,25.0,0.0,80.43333333333334,3,0,0,2,0.0,ม.2,สด,new,1,4,1
2568-1080,2568,2025-04,66.66666666666666,66.66666666666666,,12.5,0.0,78.85,2,0,3,2,0.0,ม.3,สด,old,1,4,1
2568-1081,2568,2025-04,78.57142857142857,78.57142857142857,,43.75,0.0,81.69999999999999,6,0,4,2,0.0,ม.2,เทป,new,1,4,1
2568-1084,2568,2025-04,100.0,97.22222222222221,6.25,68.75,75.0,87.52499999999999,8,0,9,2,0.0,ม.2,เทป,old,0,4,2
2568-1086,2568,2025-04,55.55555555555556,58.82352941176471,-6.944444444444443,37.5,50.0,71.0,1,0,2,2,0.0,ม.2,เทป,new,0,2,2
2568-1087,2568,2025-04,70.58823529411765,80.0,-18.300653594771234,62.5,50.0,75.9090909090909,8,0,2,2,0.0,ม.3,สด,old,0,4,2
2568-1088,2568,2025-04,75.0,75.0,,18.75,0.0,86.3,2,0,3,2,0.0,ม.2,เทป,new,1,4,1
2568-1091,2568,2025-04,100.0,100.0,,50.0,0.0,87.575,4,0,4,2,0.0,ม.1,สด,old,1,2,1
2568-1093,2568,2025-04,100.0,100.0,0.0,50.0,0.0,89.71666666666665,3,0,9,2,0.0,ม.2,สด,new,0,3,2
2568-1094,2568,2025-04,86.66666666666667,85.18518518518519,3.3333333333333286,50.0,100.0,87.86250000000001,6,0,1,2,0.0,ม.1,เทป,new,0,3,2
2568-1095,2568,2025-04,62.5,57.57575757575758,9.558823529411761,37.5,50.0,65.95714285714287,4,0,0,2,0.0,ม.2,สด,new,0,4,2
2568-1096,2568,2025-04,94.44444444444444,91.17647058823529,6.944444444444443,62.5,75.0,85.97,6,0,9,2,0.0,ม.2,สด,old,0,4,2
2568-1097,2568,2025-04,100.0,100.0,0.0,50.0,100.0,91.02000000000001,4,0,9,2,0.0,ม.2,สด,old,0,2,2
2568-1098,2568,2025-04,50.0,52.94117647058824,-5.555555555555557,37.5,50.0,64.225,2,1,0,2,0.0,ม.3,สด,new,0,2,2
2568-1099,2568,2025-04,83.33333333333334,80.0,6.862745098039227,56.25,100.0,83.70000000000002,8,0,7,2,0.0,ม.2,สด,new,0,4,2
2568-1100,2568,2025-04,60.0,60.0,,25.0,0.0,70.46666666666665,3,0,0,2,1.0,ม.2,สด,new,1,3,1
2568-1101,2568,2025-04,77.77777777777779,76.47058823529412,2.7777777777777857,75.0,50.0,81.77142857142857,5,0,2,2,0.0,ม.3,สด,new,0,2,2
2568-1102,2568,2025-04,92.3076923076923,96.0,-7.692307692307693,66.66666666666667,100.0,86.58000000000001,7,0,4,2,0.0,ม.3,สด,new,0,3,2
2568-1103,2568,2025-04,50.0,50.0,,18.75,0.0,74.19999999999999,2,0,2,2,1.0,ม.3,สด,new,1,4,1
2568-1104,2568,2025-04,50.0,45.45454545454545,8.82352941176471,50.0,100.0,65.91000000000001,5,0,0,2,0.0,ม.3,สด,new,0,4,2
2568-1105,2568,2025-04,78.57142857142857,76.92307692307693,3.5714285714285694,50.0,100.0,79.07777777777777,6,0,0,2,0.0,ม.3,เทป,new,0,3,2
2568-1106,2568,2025-04,80.0,75.75757575757575,7.777777777777786,37.5,25.0,64.89999999999999,3,0,7,2,0.0,ม.3,สด,old,0,4,2
2568-1108,2568,2025-04,75.0,72.0,5.769230769230774,41.666666666666664,66.66666666666667,78.89999999999999,5,0,0,2,0.0,ม.1,สด,new,0,3,2
