student_key,year,week_start,week_end,att_week_pct,att_cum_pct,silent_weeks,streak_weeks,practice_done,practice_total,practice_pct,practice_avg_score,checkpoint_done,checkpoint_total,checkpoint_pct,checkpoint_avg_score,tier
2568-1048,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1049,2568,2025-03-03,2025-03-09,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1050,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1051,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1052,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1053,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1054,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1055,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1056,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1057,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1058,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1059,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1060,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1061,2568,2025-03-03,2025-03-09,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1062,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1063,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1064,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1065,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1066,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1067,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1068,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1069,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1070,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1071,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1072,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1073,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1074,2568,2025-03-03,2025-03-09,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1075,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1076,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1077,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1078,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1079,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1080,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1081,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1082,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1083,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1084,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1085,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1086,2568,2025-03-03,2025-03-09,0.0,0.0,1,0,0,2,0.0,,0,0,,,red
2568-1087,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1088,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1089,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1090,2568,2025-03-03,2025-03-09,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1091,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1092,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1093,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1094,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1095,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1096,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1097,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1098,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1099,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1100,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1101,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1102,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1103,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1104,2568,2025-03-03,2025-03-09,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1105,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1106,2568,2025-03-03,2025-03-09,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1107,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1108,2568,2025-03-03,2025-03-09,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1109,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1110,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1111,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1112,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1113,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1114,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1115,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1116,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1117,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1118,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1119,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1120,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1121,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1122,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1123,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1124,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1125,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1126,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1127,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1128,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1129,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1130,2568,2025-03-03,2025-03-09,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1131,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1132,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1133,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1134,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1135,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1136,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1137,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1138,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1139,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1140,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1141,2568,2025-03-03,2025-03-09,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1142,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1143,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1144,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1145,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1146,2568,2025-03-03,2025-03-09,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1147,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1148,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1149,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1150,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1151,2568,2025-03-03,2025-03-09,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1152,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1153,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1154,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1155,2568,2025-03-03,2025-03-09,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1156,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1157,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1158,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1159,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1160,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1001,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1002,2568,2025-03-10,2025-03-16,75.0,75.0,0,2,0,4,0.0,,0,0,,,green
2568-1003,2568,2025-03-10,2025-03-16,75.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1004,2568,2025-03-10,2025-03-16,25.0,50.0,0,0,0,4,0.0,,0,0,,,orange
2568-1005,2568,2025-03-10,2025-03-16,25.0,50.0,0,0,0,4,0.0,,0,0,,,orange
2568-1006,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1007,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1008,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1009,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1010,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1011,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1012,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,2,0.0,,0,0,,,green
2568-1013,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1014,2568,2025-03-10,2025-03-16,50.0,62.5,0,0,0,4,0.0,,0,0,,,yellow
2568-1015,2568,2025-03-10,2025-03-16,50.0,25.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1016,2568,2025-03-10,2025-03-16,75.0,75.0,0,2,0,4,0.0,,0,0,,,green
2568-1017,2568,2025-03-10,2025-03-16,100.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1018,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1019,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1020,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1021,2568,2025-03-10,2025-03-16,50.0,62.5,0,0,0,4,0.0,,0,0,,,yellow
2568-1022,2568,2025-03-10,2025-03-16,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1023,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1024,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1025,2568,2025-03-10,2025-03-16,50.0,25.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1026,2568,2025-03-10,2025-03-16,75.0,75.0,0,2,0,4,0.0,,0,0,,,green
2568-1027,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1028,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1029,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1030,2568,2025-03-10,2025-03-16,75.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1031,2568,2025-03-10,2025-03-16,75.0,62.5,0,1,0,4,0.0,,0,0,,,green
2568-1032,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1033,2568,2025-03-10,2025-03-16,0.0,50.0,1,0,0,2,0.0,,0,0,,,red
2568-1034,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1035,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1036,2568,2025-03-10,2025-03-16,100.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1037,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1038,2568,2025-03-10,2025-03-16,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1039,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1040,2568,2025-03-10,2025-03-16,33.333333333333336,16.666666666666668,0,0,0,3,0.0,,0,0,,,orange
2568-1041,2568,2025-03-10,2025-03-16,75.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1042,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1043,2568,2025-03-10,2025-03-16,75.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1044,2568,2025-03-10,2025-03-16,50.0,25.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1045,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1046,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1047,2568,2025-03-10,2025-03-16,25.0,50.0,0,0,0,4,0.0,,0,0,,,orange
2568-1048,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1049,2568,2025-03-10,2025-03-16,33.333333333333336,50.0,0,0,0,3,0.0,,0,0,,,orange
2568-1050,2568,2025-03-10,2025-03-16,100.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1051,2568,2025-03-10,2025-03-16,50.0,50.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1052,2568,2025-03-10,2025-03-16,50.0,75.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1053,2568,2025-03-10,2025-03-16,100.0,75.0,0,1,0,2,0.0,,0,0,,,green
2568-1054,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1055,2568,2025-03-10,2025-03-16,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1056,2568,2025-03-10,2025-03-16,75.0,62.5,0,1,0,4,0.0,,0,0,,,green
2568-1057,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1058,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,2,0.0,,0,0,,,green
2568-1059,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1060,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1061,2568,2025-03-10,2025-03-16,75.0,50.0,0,1,0,4,0.0,,0,0,,,green
2568-1062,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1063,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1064,2568,2025-03-10,2025-03-16,100.0,75.0,0,1,0,2,0.0,,0,0,,,green
2568-1065,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1066,2568,2025-03-10,2025-03-16,75.0,75.0,0,2,0,4,0.0,,0,0,,,green
2568-1067,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1068,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1069,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,4,0.0,,0,0,,,green
2568-1070,2568,2025-03-10,2025-03-16,33.333333333333336,66.66666666666667,0,0,0,3,0.0,,0,0,,,orange
2568-1071,2568,2025-03-10,2025-03-16,66.66666666666667,83.33333333333333,0,0,0,3,0.0,,0,0,,,yellow
2568-1072,2568,2025-03-10,2025-03-16,50.0,75.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1073,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1074,2568,2025-03-10,2025-03-16,75.0,50.0,0,1,0,4,0.0,,0,0,,,green
2568-1075,2568,2025-03-10,2025-03-16,50.0,75.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1076,2568,2025-03-10,2025-03-16,75.0,62.5,0,1,0,4,0.0,,0,0,,,green
2568-1077,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1078,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1079,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1080,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1081,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1082,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1083,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1084,2568,2025-03-10,2025-03-16,75.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1085,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1086,2568,2025-03-10,2025-03-16,50.0,25.0,0,0,0,2,0.0,,0,0,,,yellow
2568-1087,2568,2025-03-10,2025-03-16,100.0,87.5,0,2,0,4,0.0,,0,0,,,green
2568-1088,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1089,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1090,2568,2025-03-10,2025-03-16,25.0,25.0,0,0,0,4,0.0,,0,0,,,orange
2568-1091,2568,2025-03-10,2025-03-16,,,0,0,0,2,0.0,,0,0,,,green
2568-1092,2568,2025-03-10,2025-03-16,100.0,75.0,0,1,0,2,0.0,,0,0,,,green
2568-1093,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1094,2568,2025-03-10,2025-03-16,66.66666666666667,83.33333333333333,0,0,0,3,0.0,,0,0,,,yellow
2568-1095,2568,2025-03-10,2025-03-16,25.0,50.0,0,0,0,4,0.0,,0,0,,,orange
2568-1096,2568,2025-03-10,2025-03-16,75.0,75.0,0,2,0,4,0.0,,0,0,,,green
2568-1097,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,2,0.0,,0,0,,,green
2568-1098,2568,2025-03-10,2025-03-16,0.0,50.0,1,0,0,2,0.0,,0,0,,,red
2568-1099,2568,2025-03-10,2025-03-16,0.0,50.0,1,0,0,4,0.0,,0,0,,,red
2568-1100,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1101,2568,2025-03-10,2025-03-16,100.0,75.0,0,1,0,2,0.0,,0,0,,,green
2568-1102,2568,2025-03-10,2025-03-16,100.0,100.0,0,2,0,3,0.0,,0,0,,,green
2568-1103,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1104,2568,2025-03-10,2025-03-16,50.0,37.5,0,0,0,4,0.0,,0,0,,,yellow
2568-1105,2568,2025-03-10,2025-03-16,66.66666666666667,83.33333333333333,0,0,0,3,0.0,,0,0,,,yellow
2568-1106,2568,2025-03-10,2025-03-16,50.0,37.5,0,0,0,4,0.0,,0,0,,,yellow
2568-1107,2568,2025-03-10,2025-03-16,,,0,0,0,4,0.0,,0,0,,,green
2568-1108,2568,2025-03-10,2025-03-16,66.66666666666667,66.66666666666667,0,0,0,3,0.0,,0,0,,,yellow
2568-1109,2568,2025-03-10,2025-03-16,33.333333333333336,66.66666666666667,0,0,0,3,0.0,,0,0,,,orange
2568-1110,2568,2025-03-10,2025-03-16,,,0,0,0,3,0.0,,0,0,,,green
2568-1111,2568,2025-03-10,2025-03-16,50.0,62.5,0,0,0,4,0.0,,0,0,,,yellow
