student_key,year,exam_id,subject_id,exam_type,submitted_at,percentage,passed
2568-1007,2568,2568-S1-P7,1,practice,2025-07-04 17:00:00,69.0,1
2568-1007,2568,2568-S4-P7,4,practice,2025-07-04 18:00:00,92.0,1
2568-1007,2568,2568-S5-P7,5,practice,2025-07-03 18:00:00,78.8,1
2568-1007,2568,2568-S1-P8,1,practice,2025-07-27 17:00:00,71.6,1
2568-1007,2568,2568-S5-P8,5,practice,2025-07-25 21:00:00,95.2,1
2568-1007,2568,2568-S6-P8,6,practice,2025-07-26 16:00:00,63.8,1
2568-1008,2568,2568-S1-P3,1,practice,2025-04-07 17:00:00,77.5,1
2568-1008,2568,2568-S4-P3,4,practice,2025-04-11 19:00:00,70.3,1
2568-1008,2568,2568-S5-P3,5,practice,2025-04-11 16:00:00,63.7,1
2568-1008,2568,2568-S1-P4,1,practice,2025-05-01 18:00:00,59.6,1
2568-1008,2568,2568-S1-C2,1,checkpoint,2025-05-16 16:00:00,66.1,1
2568-1008,2568,2568-S5-C2,5,checkpoint,2025-05-18 21:00:00,72.1,1
2568-1008,2568,2568-S4-P5,4,practice,2025-05-20 20:00:00,81.7,1
2568-1008,2568,2568-S6-P5,6,practice,2025-05-24 16:00:00,100.0,1
2568-1008,2568,2568-S1-C3,1,checkpoint,2025-06-27 18:00:00,92.1,1
2568-1008,2568,2568-S4-C3,4,checkpoint,2025-06-24 18:00:00,69.7,1
2568-1008,2568,2568-S5-C3,5,checkpoint,2025-06-29 16:00:00,93.1,1
2568-1008,2568,2568-S1-P7,1,practice,2025-07-01 18:00:00,81.5,1
2568-1008,2568,2568-S4-P8,4,practice,2025-07-27 18:00:00,89.5,1
2568-1008,2568,2568-S1-C4,1,checkpoint,2025-08-04 20:00:00,73.8,1
2568-1008,2568,2568-S1-P9,1,practice,2025-08-17 21:00:00,40.7,0
2568-1008,2568,2568-S5-P9,5,practice,2025-08-13 19:00:00,55.8,1
2568-1008,2568,2568-S6-P9,6,practice,2025-08-15 18:00:00,76.9,1
2568-1009,2568,2568-S1-P6,1,practice,2025-06-14 19:00:00,77.5,1
2568-1009,2568,2568-S5-P6,5,practice,2025-06-13 20:00:00,85.8,1
2568-1009,2568,2568-S6-P6,6,practice,2025-06-12 22:00:00,88.5,1
2568-1009,2568,2568-S4-C3,4,checkpoint,2025-06-25 22:00:00,67.2,1
2568-1009,2568,2568-S5-C3,5,checkpoint,2025-06-27 19:00:00,85.7,1
2568-1009,2568,2568-S6-C3,6,checkpoint,2025-06-24 16:00:00,92.5,1
2568-1009,2568,2568-S1-P7,1,practice,2025-07-03 18:00:00,80.1,1
2568-1009,2568,2568-S5-P7,5,practice,2025-07-04 21:00:00,100.0,1
2568-1009,2568,2568-S1-P8,1,practice,2025-07-21 19:00:00,90.7,1
2568-1009,2568,2568-S4-P8,4,practice,2025-07-23 19:00:00,99.5,1
2568-1009,2568,2568-S5-P8,5,practice,2025-07-22 21:00:00,67.9,1
2568-1009,2568,2568-S6-P8,6,practice,2025-07-27 19:00:00,92.8,1
2568-1009,2568,2568-S1-C4,1,checkpoint,2025-08-04 20:00:00,89.7,1
2568-1009,2568,2568-S4-C4,4,checkpoint,2025-08-05 22:00:00,85.7,1
2568-1009,2568,2568-S5-C4,5,checkpoint,2025-08-07 21:00:00,66.5,1
2568-1009,2568,2568-S1-P9,1,practice,2025-08-15 18:00:00,82.0,1
2568-1009,2568,2568-S5-P9,5,practice,2025-08-14 20:00:00,80.8,1
2568-1009,2568,2568-S6-P9,6,practice,2025-08-14 22:00:00,100.0,1
2568-1010,2568,2568-S4-P3,4,practice,2025-04-08 19:00:00,61.8,1
2568-1010,2568,2568-S5-P3,5,practice,2025-04-12 22:00:00,98.9,1
2568-1010,2568,2568-S6-P3,6,practice,2025-04-07 18:00:00,80.8,1
2568-1010,2568,2568-S1-P4,1,practice,2025-04-28 18:00:00,56.9,1
2568-1010,2568,2568-S4-P4,4,practice,2025-05-02 21:00:00,53.2,1
2568-1010,2568,2568-S5-P4,5,practice,2025-05-03 17:00:00,63.9,1
2568-1010,2568,2568-S6-P4,6,practice,2025-05-01 17:00:00,69.1,1
2568-1010,2568,2568-S1-C2,1,checkpoint,2025-05-14 20:00:00,97.5,1
2568-1010,2568,2568-S4-C2,4,checkpoint,2025-05-13 18:00:00,75.5,1
2568-1010,2568,2568-S5-C2,5,checkpoint,2025-05-18 19:00:00,92.0,1
2568-1010,2568,2568-S6-C2,6,checkpoint,2025-05-12 22:00:00,71.8,1
2568-1010,2568,2568-S1-P5,1,practice,2025-05-22 18:00:00,90.5,1
2568-1010,2568,2568-S4-P5,4,practice,2025-05-23 16:00:00,57.4,1
2568-1010,2568,2568-S5-P5,5,practice,2025-05-24 18:00:00,89.0,1
2568-1010,2568,2568-S1-P6,1,practice,2025-06-10 18:00:00,97.5,1
2568-1010,2568,2568-S4-P6,4,practice,2025-06-09 20:00:00,95.0,1
2568-1010,2568,2568-S5-P6,5,practice,2025-06-15 20:00:00,75.9,1
2568-1010,2568,2568-S1-C3,1,checkpoint,2025-06-27 20:00:00,100.0,1
2568-1010,2568,2568-S5-C3,5,checkpoint,2025-06-23 18:00:00,64.6,1
2568-1010,2568,2568-S6-C3,6,checkpoint,2025-06-26 18:00:00,70.6,1
2568-1010,2568,2568-S1-P7,1,practice,2025-07-03 18:00:00,75.9,1
2568-1010,2568,2568-S4-P7,4,practice,2025-07-06 22:00:00,77.0,1
2568-1010,2568,2568-S6-P7,6,practice,2025-07-06 18:00:00,89.4,1
2568-1010,2568,2568-S1-P8,1,practice,2025-07-22 20:00:00,62.2,1
2568-1010,2568,2568-S4-P8,4,practice,2025-07-24 18:00:00,73.2,1
2568-1010,2568,2568-S5-P8,5,practice,2025-07-24 22:00:00,95.4,1
2568-1010,2568,2568-S6-P8,6,practice,2025-07-27 22:00:00,77.7,1
2568-1010,2568,2568-S1-C4,1,checkpoint,2025-08-07 21:00:00,70.7,1
2568-1010,2568,2568-S4-C4,4,checkpoint,2025-08-05 20:00:00,81.7,1
2568-1010,2568,2568-S5-C4,5,checkpoint,2025-08-07 18:00:00,81.6,1
2568-1010,2568,2568-S1-P9,1,practice,2025-08-15 21:00:00,65.5,1
2568-1010,2568,2568-S4-P9,4,practice,2025-08-16 16:00:00,47.4,0
2568-1010,2568,2568-S5-P9,5,practice,2025-08-15 21:00:00,68.1,1
2568-1010,2568,2568-S6-P9,6,practice,2025-08-16 22:00:00,88.8,1
2568-1011,2568,2568-S1-P6,1,practice,2025-06-09 18:00:00,78.5,1
2568-1011,2568,2568-S4-P6,4,practice,2025-06-15 20:00:00,85.6,1
2568-1011,2568,2568-S5-P6,5,practice,2025-06-13 16:00:00,84.0,1
2568-1011,2568,2568-S6-P6,6,practice,2025-06-10 18:00:00,69.7,1
2568-1011,2568,2568-S4-C3,4,checkpoint,2025-06-27 21:00:00,65.8,1
2568-1011,2568,2568-S5-C3,5,checkpoint,2025-06-29 21:00:00,71.9,1
2568-1011,2568,2568-S6-C3,6,checkpoint,2025-06-29 19:00:00,80.5,1
2568-1011,2568,2568-S1-P7,1,practice,2025-07-02 22:00:00,80.6,1
2568-1011,2568,2568-S4-P7,4,practice,2025-07-05 17:00:00,81.9,1
2568-1011,2568,2568-S5-P7,5,practice,2025-06-30 21:00:00,100.0,1
2568-1011,2568,2568-S6-P7,6,practice,2025-07-01 17:00:00,89.4,1
2568-1011,2568,2568-S1-P8,1,practice,2025-07-27 16:00:00,79.3,1
2568-1011,2568,2568-S4-P8,4,practice,2025-07-27 20:00:00,95.5,1
2568-1011,2568,2568-S6-P8,6,practice,2025-07-25 18:00:00,87.4,1
2568-1011,2568,2568-S1-C4,1,checkpoint,2025-08-05 22:00:00,77.1,1
2568-1011,2568,2568-S4-C4,4,checkpoint,2025-08-04 18:00:00,97.3,1
2568-1011,2568,2568-S5-C4,5,checkpoint,2025-08-06 18:00:00,98.0,1
2568-1011,2568,2568-S6-C4,6,checkpoint,2025-08-05 18:00:00,100.0,1
2568-1011,2568,2568-S1-P9,1,practice,2025-08-15 18:00:00,81.8,1
2568-1011,2568,2568-S4-P9,4,practice,2025-08-11 20:00:00,86.5,1
2568-1011,2568,2568-S5-P9,5,practice,2025-08-16 19:00:00,85.6,1
2568-1011,2568,2568-S6-P9,6,practice,2025-08-17 20:00:00,68.8,1
2568-1012,2568,2568-S6-P2,6,practice,2025-03-22 20:00:00,100.0,1
2568-1012,2568,2568-S6-C1,6,checkpoint,2025-04-04 17:00:00,81.6,1
2568-1012,2568,2568-S1-P3,1,practice,2025-04-07 22:00:00,88.8,1
2568-1012,2568,2568-S6-P3,6,practice,2025-04-12 20:00:00,84.5,1
2568-1012,2568,2568-S1-P4,1,practice,2025-05-02 20:00:00,73.2,1
2568-1012,2568,2568-S6-P4,6,practice,2025-04-30 16:00:00,100.0,1
2568-1012,2568,2568-S1-C2,1,checkpoint,2025-05-16 16:00:00,97.8,1
2568-1012,2568,2568-S6-P5,6,practice,2025-05-24 20:00:00,83.6,1
2568-1012,2568,2568-S1-P6,1,practice,2025-06-15 19:00:00,79.4,1
2568-1012,2568,2568-S6-P6,6,practice,2025-06-10 17:00:00,77.3,1
2568-1012,2568,2568-S1-C3,1,checkpoint,2025-06-24 19:00:00,71.0,1
2568-1012,2568,2568-S1-P7,1,practice,2025-07-03 18:00:00,80.0,1
2568-1012,2568,2568-S6-P7,6,practice,2025-07-02 17:00:00,84.1,1
2568-1012,2568,2568-S1-P8,1,practice,2025-07-23 20:00:00,80.9,1
2568-1012,2568,2568-S6-P8,6,practice,2025-07-24 18:00:00,65.3,1
2568-1012,2568,2568-S1-C4,1,checkpoint,2025-08-04 17:00:00,97.3,1
2568-1012,2568,2568-S6-C4,6,checkpoint,2025-08-10 17:00:00,82.6,1
2568-1012,2568,2568-S1-P9,1,practice,2025-08-13 16:00:00,82.1,1
2568-1012,2568,2568-S6-P9,6,practice,2025-08-17 19:00:00,94.5,1
2568-1013,2568,2568-S1-P3,1,practice,2025-04-10 20:00:00,100.0,1
2568-1013,2568,2568-S4-P3,4,practice,2025-04-07 18:00:00,94.4,1
2568-1013,2568,2568-S6-P3,6,practice,2025-04-13 17:00:00,81.5,1
2568-1013,2568,2568-S4-P4,4,practice,2025-05-02 16:00:00,62.3,1
2568-1013,2568,2568-S5-P4,5,practice,2025-05-02 21:00:00,98.2,1
2568-1013,2568,2568-S1-C2,1,checkpoint,2025-05-17 16:00:00,77.5,1
2568-1013,2568,2568-S5-C2,5,checkpoint,2025-05-17 16:00:00,78.5,1
2568-1013,2568,2568-S6-C2,6,checkpoint,2025-05-15 22:00:00,69.9,1
2568-1013,2568,2568-S4-P5,4,practice,2025-05-23 22:00:00,86.1,1
2568-1013,2568,2568-S6-P5,6,practice,2025-05-25 22:00:00,90.7,1
2568-1013,2568,2568-S1-P6,1,practice,2025-06-14 20:00:00,74.2,1
2568-1013,2568,2568-S4-P6,4,practice,2025-06-10 18:00:00,84.9,1
2568-1013,2568,2568-S6-P6,6,practice,2025-06-12 22:00:00,79.6,1
2568-1013,2568,2568-S1-C3,1,checkpoint,2025-06-27 21:00:00,59.1,1
2568-1013,2568,2568-S4-C3,4,checkpoint,2025-06-24 21:00:00,80.7,1
2568-1013,2568,2568-S5-C3,5,checkpoint,2025-06-26 18:00:00,78.4,1
2568-1013,2568,2568-S6-C3,6,checkpoint,2025-06-26 21:00:00,70.1,1
2568-1013,2568,2568-S1-P7,1,practice,2025-07-01 19:00:00,70.1,1
2568-1013,2568,2568-S5-P7,5,practice,2025-07-02 21:00:00,84.6,1
2568-1013,2568,2568-S6-P7,6,practice,2025-07-06 21:00:00,53.1,1
2568-1013,2568,2568-S1-P8,1,practice,2025-07-25 19:00:00,69.3,1
2568-1013,2568,2568-S4-P8,4,practice,2025-07-25 17:00:00,83.0,1
2568-1013,2568,2568-S1-C4,1,checkpoint,2025-08-04 18:00:00,98.0,1
2568-1013,2568,2568-S5-C4,5,checkpoint,2025-08-08 16:00:00,73.4,1
2568-1013,2568,2568-S6-C4,6,checkpoint,2025-08-09 22:00:00,62.5,1
2568-1013,2568,2568-S1-P9,1,practice,2025-08-16 18:00:00,77.2,1
2568-1013,2568,2568-S4-P9,4,practice,2025-08-14 16:00:00,51.5,1
2568-1013,2568,2568-S5-P9,5,practice,2025-08-12 21:00:00,73.5,1
2568-1013,2568,2568-S6-P9,6,practice,2025-08-15 18:00:00,69.5,1
2568-1014,2568,2568-S6-P2,6,practice,2025-03-21 20:00:00,68.5,1
2568-1014,2568,2568-S4-C1,4,checkpoint,2025-04-05 18:00:00,78.3,1
2568-1014,2568,2568-S5-C1,5,checkpoint,2025-04-04 21:00:00,73.7,1
2568-1014,2568,2568-S6-C1,6,checkpoint,2025-04-05 20:00:00,72.1,1
2568-1014,2568,2568-S4-P3,4,practice,2025-04-12 21:00:00,94.9,1
2568-1014,2568,2568-S5-P3,5,practice,2025-04-08 22:00:00,75.3,1
2568-1014,2568,2568-S6-P3,6,practice,2025-04-07 20:00:00,70.6,1
2568-1014,2568,2568-S4-P4,4,practice,2025-05-04 21:00:00,93.6,1
2568-1014,2568,2568-S6-P4,6,practice,2025-05-04 17:00:00,79.5,1
2568-1014,2568,2568-S1-C2,1,checkpoint,2025-05-16 17:00:00,84.5,1
2568-1014,2568,2568-S4-C2,4,checkpoint,2025-05-14 22:00:00,66.0,1
2568-1014,2568,2568-S5-C2,5,checkpoint,2025-05-12 16:00:00,99.8,1
2568-1014,2568,2568-S6-C2,6,checkpoint,2025-05-14 17:00:00,63.0,1
2568-1014,2568,2568-S4-P5,4,practice,2025-05-19 16:00:00,81.4,1
2568-1014,2568,2568-S5-P5,5,practice,2025-05-19 22:00:00,59.4,1
2568-1014,2568,2568-S1-P6,1,practice,2025-06-13 18:00:00,70.1,1
2568-1014,2568,2568-S4-P6,4,practice,2025-06-14 21:00:00,78.2,1
2568-1014,2568,2568-S5-P7,5,practice,2025-07-04 22:00:00,85.5,1
2568-1014,2568,2568-S4-P8,4,practice,2025-07-24 19:00:00,70.5,1
2568-1014,2568,2568-S4-C4,4,checkpoint,2025-08-04 21:00:00,82.5,1
2568-1014,2568,2568-S6-C4,6,checkpoint,2025-08-08 19:00:00,96.8,1
2568-1014,2568,2568-S1-P9,1,practice,2025-08-15 21:00:00,80.8,1
2568-1014,2568,2568-S4-P9,4,practice,2025-08-14 20:00:00,62.3,1
2568-1014,2568,2568-S5-P9,5,practice,2025-08-16 19:00:00,88.5,1
2568-1015,2568,2568-S1-P2,1,practice,2025-03-19 21:00:00,83.1,1
2568-1015,2568,2568-S5-P2,5,practice,2025-03-18 22:00:00,61.7,1
2568-1016,2568,2568-S1-P2,1,practice,2025-03-20 21:00:00,100.0,1
2568-1016,2568,2568-S4-P2,4,practice,2025-03-21 18:00:00,90.6,1
2568-1016,2568,2568-S5-P2,5,practice,2025-03-17 16:00:00,97.5,1
2568-1016,2568,2568-S6-P2,6,practice,2025-03-17 16:00:00,100.0,1
2568-1016,2568,2568-S1-C1,1,checkpoint,2025-04-05 18:00:00,83.1,1
2568-1016,2568,2568-S4-C1,4,checkpoint,2025-04-02 17:00:00,80.9,1
2568-1016,2568,2568-S5-P3,5,practice,2025-04-11 20:00:00,94.8,1
2568-1016,2568,2568-S1-P4,1,practice,2025-04-29 22:00:00,100.0,1
2568-1016,2568,2568-S4-P4,4,practice,2025-05-02 19:00:00,97.7,1
2568-1016,2568,2568-S5-P4,5,practice,2025-05-03 20:00:00,73.6,1
2568-1016,2568,2568-S6-P4,6,practice,2025-05-02 16:00:00,97.8,1
2568-1016,2568,2568-S1-C2,1,checkpoint,2025-05-14 22:00:00,78.9,1
