student_key,month,att_next_month_pct
2568-1071,2025-05,93.3
2568-1071,2025-06,83.3
2568-1071,2025-07,83.3
2568-1071,2025-08,66.7
2568-1071,2025-09,0.0
2568-1072,2025-03,62.5
2568-1072,2025-04,37.5
2568-1072,2025-05,70.0
2568-1072,2025-06,62.5
2568-1072,2025-07,0.0
2568-1073,2025-04,68.8
2568-1073,2025-05,75.0
2568-1073,2025-06,75.0
2568-1073,2025-07,75.0
2568-1073,2025-08,0.0
2568-1074,2025-03,12.5
2568-1074,2025-04,18.8
2568-1074,2025-05,15.0
2568-1074,2025-06,37.5
2568-1074,2025-07,50.0
2568-1074,2025-08,75.0
2568-1074,2025-09,0.0
2568-1075,2025-03,0.0
2568-1076,2025-03,87.5
2568-1076,2025-04,93.8
2568-1076,2025-05,80.0
2568-1076,2025-06,81.2
2568-1076,2025-07,68.8
2568-1076,2025-08,100.0
2568-1076,2025-09,0.0
2568-1077,2025-04,62.5
2568-1077,2025-05,70.0
2568-1077,2025-06,68.8
2568-1077,2025-07,68.8
2568-1077,2025-08,75.0
2568-1077,2025-09,0.0
2568-1078,2025-05,90.0
2568-1078,2025-06,87.5
2568-1078,2025-07,81.2
2568-1078,2025-08,0.0
2568-1079,2025-04,81.2
2568-1079,2025-05,95.0
2568-1079,2025-06,81.2
2568-1079,2025-07,87.5
2568-1079,2025-08,100.0
2568-1079,2025-09,0.0
2568-1080,2025-04,62.5
2568-1080,2025-05,75.0
2568-1080,2025-06,87.5
2568-1080,2025-07,68.8
2568-1080,2025-08,100.0
2568-1080,2025-09,0.0
2568-1081,2025-04,87.5
2568-1081,2025-05,85.0
2568-1081,2025-06,81.2
2568-1081,2025-07,100.0
2568-1081,2025-08,50.0
2568-1081,2025-09,0.0
2568-1082,2025-05,90.0
2568-1082,2025-06,81.2
2568-1082,2025-07,75.0
2568-1082,2025-08,0.0
2568-1083,2025-06,62.5
2568-1083,2025-07,0.0
2568-1084,2025-03,100.0
2568-1084,2025-04,75.0
2568-1084,2025-05,95.0
2568-1084,2025-06,87.5
2568-1084,2025-07,87.5
2568-1084,2025-08,100.0
2568-1084,2025-09,0.0
2568-1085,2025-05,80.0
2568-1085,2025-06,50.0
2568-1085,2025-07,68.8
2568-1085,2025-08,75.0
2568-1085,2025-09,0.0
2568-1086,2025-03,75.0
2568-1086,2025-04,62.5
2568-1086,2025-05,50.0
2568-1086,2025-06,87.5
2568-1086,2025-07,0.0
2568-1087,2025-03,68.8
2568-1087,2025-04,68.8
2568-1087,2025-05,0.0
2568-1088,2025-04,93.8
2568-1088,2025-05,55.0
2568-1088,2025-06,87.5
2568-1088,2025-07,75.0
2568-1088,2025-08,50.0
2568-1088,2025-09,0.0
2568-1089,2025-05,10.0
2568-1089,2025-06,0.0
2568-1090,2025-03,0.0
2568-1091,2025-04,100.0
2568-1091,2025-05,100.0
2568-1091,2025-06,100.0
2568-1091,2025-07,87.5
2568-1091,2025-08,0.0
2568-1092,2025-03,0.0
2568-1093,2025-03,100.0
2568-1093,2025-04,100.0
2568-1093,2025-05,86.7
2568-1093,2025-06,100.0
2568-1093,2025-07,100.0
2568-1093,2025-08,100.0
2568-1093,2025-09,0.0
2568-1094,2025-03,83.3
2568-1094,2025-04,83.3
2568-1094,2025-05,80.0
2568-1094,2025-06,83.3
2568-1094,2025-07,0.0
2568-1095,2025-03,62.5
2568-1095,2025-04,62.5
2568-1095,2025-05,60.0
2568-1095,2025-06,68.8
2568-1095,2025-07,68.8
2568-1095,2025-08,50.0
2568-1095,2025-09,0.0
2568-1096,2025-03,93.8
2568-1096,2025-04,100.0
2568-1096,2025-05,95.0
2568-1096,2025-06,100.0
2568-1096,2025-07,87.5
2568-1096,2025-08,75.0
2568-1096,2025-09,0.0
2568-1097,2025-03,100.0
2568-1097,2025-04,100.0
2568-1097,2025-05,100.0
2568-1097,2025-06,100.0
2568-1097,2025-07,100.0
2568-1097,2025-08,100.0
2568-1097,2025-09,0.0
2568-1098,2025-03,37.5
2568-1098,2025-04,12.5
2568-1098,2025-05,20.0
2568-1098,2025-06,0.0
2568-1099,2025-03,81.2
2568-1099,2025-04,100.0
2568-1099,2025-05,85.0
2568-1099,2025-06,100.0
2568-1099,2025-07,100.0
2568-1099,2025-08,100.0
2568-1099,2025-09,0.0
2568-1100,2025-04,0.0
2568-1101,2025-03,87.5
2568-1101,2025-04,100.0
2568-1101,2025-05,100.0
2568-1101,2025-06,100.0
2568-1101,2025-07,100.0
2568-1101,2025-08,50.0
2568-1101,2025-09,0.0
2568-1102,2025-03,100.0
2568-1102,2025-04,100.0
2568-1102,2025-05,100.0
2568-1102,2025-06,91.7
2568-1102,2025-07,100.0
2568-1102,2025-08,100.0
2568-1102,2025-09,0.0
2568-1103,2025-04,0.0
2568-1104,2025-03,50.0
2568-1104,2025-04,56.2
2568-1104,2025-05,70.0
2568-1104,2025-06,68.8
2568-1104,2025-07,43.8
2568-1104,2025-08,75.0
2568-1104,2025-09,0.0
2568-1105,2025-03,83.3
2568-1105,2025-04,66.7
2568-1105,2025-05,86.7
2568-1105,2025-06,58.3
2568-1105,2025-07,91.7
2568-1105,2025-08,100.0
2568-1105,2025-09,0.0
2568-1106,2025-03,75.0
2568-1106,2025-04,75.0
2568-1106,2025-05,75.0
2568-1106,2025-06,75.0
2568-1106,2025-07,0.0
2568-1107,2025-06,100.0
2568-1107,2025-07,0.0
2568-1108,2025-03,75.0
2568-1108,2025-04,58.3
2568-1108,2025-05,66.7
2568-1108,2025-06,83.3
2568-1108,2025-07,66.7
2568-1108,2025-08,66.7
2568-1108,2025-09,0.0
2568-1109,2025-03,66.7
2568-1109,2025-04,66.7
2568-1109,2025-05,40.0
2568-1109,2025-06,75.0
2568-1109,2025-07,25.0
2568-1109,2025-08,33.3
2568-1109,2025-09,0.0
2568-1110,2025-04,66.7
2568-1110,2025-05,100.0
2568-1110,2025-06,100.0
2568-1110,2025-07,91.7
2568-1110,2025-08,100.0
2568-1110,2025-09,0.0
2568-1111,2025-03,93.8
2568-1111,2025-04,62.5
2568-1111,2025-05,75.0
2568-1111,2025-06,87.5
2568-1111,2025-07,68.8
2568-1111,2025-08,0.0
2568-1111,2025-09,0.0
2568-1112,2025-03,75.0
2568-1112,2025-04,87.5
2568-1112,2025-05,75.0
2568-1112,2025-06,87.5
2568-1112,2025-07,75.0
2568-1112,2025-08,0.0
2568-1113,2025-06,68.8
2568-1113,2025-07,50.0
2568-1113,2025-08,25.0
2568-1113,2025-09,0.0
2568-1114,2025-04,81.2
2568-1114,2025-05,100.0
2568-1114,2025-06,87.5
2568-1114,2025-07,75.0
2568-1114,2025-08,0.0
2568-1115,2025-06,75.0
2568-1115,2025-07,0.0
2568-1116,2025-05,80.0
2568-1116,2025-06,75.0
2568-1116,2025-07,87.5
2568-1116,2025-08,100.0
2568-1116,2025-09,0.0
2568-1117,2025-03,87.5
2568-1117,2025-04,87.5
2568-1117,2025-05,70.0
2568-1117,2025-06,87.5
2568-1117,2025-07,81.2
2568-1117,2025-08,100.0
2568-1117,2025-09,0.0
2568-1118,2025-03,62.5
2568-1118,2025-04,50.0
2568-1118,2025-05,70.0
2568-1118,2025-06,68.8
2568-1118,2025-07,0.0
2568-1119,2025-04,50.0
2568-1119,2025-05,55.0
2568-1119,2025-06,75.0
2568-1119,2025-07,68.8
2568-1119,2025-08,75.0
2568-1119,2025-09,0.0
2568-1120,2025-06,0.0
2568-1121,2025-04,0.0
2568-1122,2025-03,62.5
2568-1122,2025-04,81.2
2568-1122,2025-05,75.0
2568-1122,2025-06,81.2
2568-1122,2025-07,68.8
2568-1122,2025-08,75.0
2568-1122,2025-09,0.0
2568-1123,2025-03,68.8
2568-1123,2025-04,68.8
2568-1123,2025-05,35.0
2568-1123,2025-06,25.0
2568-1123,2025-07,68.8
2568-1123,2025-08,75.0
2568-1123,2025-09,0.0
2568-1124,2025-03,81.2
2568-1124,2025-04,87.5
2568-1124,2025-05,80.0
2568-1124,2025-06,68.8
2568-1124,2025-07,68.8
2568-1124,2025-08,50.0
2568-1124,2025-09,0.0
2568-1125,2025-03,81.2
2568-1125,2025-04,81.2
2568-1125,2025-05,90.0
2568-1125,2025-06,62.5
2568-1125,2025-07,75.0
2568-1125,2025-08,75.0
2568-1125,2025-09,0.0
2568-1126,2025-04,68.8
2568-1126,2025-05,85.0
2568-1126,2025-06,0.0
2568-1127,2025-05,65.0
2568-1127,2025-06,81.2
2568-1127,2025-07,81.2
2568-1127,2025-08,100.0
2568-1127,2025-09,0.0
2568-1128,2025-04,87.5
2568-1128,2025-05,90.0
2568-1128,2025-06,87.5
2568-1128,2025-07,75.0
2568-1128,2025-08,100.0
2568-1128,2025-09,0.0
2568-1129,2025-04,100.0
2568-1129,2025-05,100.0
2568-1129,2025-06,100.0
2568-1129,2025-07,100.0
2568-1129,2025-08,100.0
2568-1129,2025-09,0.0
2568-1130,2025-03,58.3
2568-1130,2025-04,91.7
2568-1130,2025-05,80.0
2568-1130,2025-06,66.7
2568-1130,2025-07,66.7
2568-1130,2025-08,100.0
2568-1130,2025-09,0.0
2568-1131,2025-03,81.2
2568-1131,2025-04,75.0
2568-1131,2025-05,75.0
2568-1131,2025-06,75.0
2568-1131,2025-07,87.5
2568-1131,2025-08,75.0
2568-1131,2025-09,0.0
2568-1132,2025-03,100.0
2568-1132,2025-04,100.0
2568-1132,2025-05,100.0
2568-1132,2025-06,100.0
2568-1132,2025-07,93.8
2568-1132,2025-08,100.0
2568-1132,2025-09,0.0
2568-1133,2025-03,87.5
2568-1133,2025-04,87.5
2568-1133,2025-05,95.0
2568-1133,2025-06,93.8
2568-1133,2025-07,93.8
2568-1133,2025-08,100.0
2568-1133,2025-09,0.0
2568-1134,2025-04,75.0
2568-1134,2025-05,75.0
2568-1134,2025-06,0.0
2568-1135,2025-03,87.5
2568-1135,2025-04,0.0
2568-1136,2025-05,100.0
2568-1136,2025-06,100.0
2568-1136,2025-07,100.0
2568-1136,2025-08,100.0
2568-1136,2025-09,0.0
2568-1137,2025-03,87.5
2568-1137,2025-04,100.0
2568-1137,2025-05,90.0
2568-1137,2025-06,100.0
2568-1137,2025-07,93.8
2568-1137,2025-08,50.0
2568-1137,2025-09,0.0
2568-1138,2025-04,62.5
2568-1138,2025-05,90.0
2568-1138,2025-06,75.0
2568-1138,2025-07,62.5
2568-1138,2025-08,75.0
2568-1138,2025-09,0.0
2568-1139,2025-03,50.0
2568-1139,2025-04,81.2
2568-1139,2025-05,80.0
2568-1139,2025-06,56.2
2568-1139,2025-07,75.0
2568-1139,2025-08,0.0
2568-1140,2025-03,75.0
2568-1140,2025-04,75.0
2568-1140,2025-05,80.0
2568-1140,2025-06,91.7
2568-1140,2025-07,83.3
2568-1140,2025-08,0.0
2568-1141,2025-03,75.0
2568-1141,2025-04,91.7
2568-1141,2025-05,73.3
2568-1141,2025-06,75.0
2568-1141,2025-07,91.7
2568-1141,2025-08,66.7
2568-1141,2025-09,0.0
2568-1142,2025-03,68.8
2568-1142,2025-04,81.2
2568-1142,2025-05,60.0
2568-1142,2025-06,75.0
2568-1142,2025-07,56.2
2568-1142,2025-08,100.0
2568-1142,2025-09,0.0
2568-1143,2025-03,91.7
2568-1143,2025-04,91.7
2568-1143,2025-05,80.0
2568-1143,2025-06,100.0
2568-1143,2025-07,91.7
2568-1143,2025-08,100.0
2568-1143,2025-09,0.0
2568-1144,2025-03,50.0
2568-1144,2025-04,0.0
2568-1145,2025-03,81.2
2568-1145,2025-04,75.0
2568-1145,2025-05,85.0
2568-1145,2025-06,75.0
2568-1145,2025-07,81.2
2568-1145,2025-08,75.0
2568-1145,2025-09,0.0
2568-1146,2025-03,50.0
2568-1146,2025-04,58.3
2568-1146,2025-05,60.0
2568-1146,2025-06,75.0
2568-1146,2025-07,50.0
2568-1146,2025-08,33.3
2568-1146,2025-09,0.0
2568-1147,2025-03,50.0
2568-1147,2025-04,0.0
2568-1148,2025-03,91.7
2568-1148,2025-04,75.0
2568-1148,2025-05,80.0
2568-1148,2025-06,91.7
2568-1148,2025-07,91.7
2568-1148,2025-08,100.0
2568-1148,2025-09,0.0
2568-1149,2025-06,41.7
2568-1149,2025-07,0.0
2568-1150,2025-03,50.0
2568-1150,2025-04,66.7
2568-1150,2025-05,86.7
2568-1150,2025-06,66.7
2568-1150,2025-07,83.3
2568-1150,2025-08,66.7
2568-1150,2025-09,0.0
2568-1151,2025-03,91.7
2568-1151,2025-04,75.0
2568-1151,2025-05,73.3
2568-1151,2025-06,58.3
2568-1151,2025-07,83.3
2568-1151,2025-08,100.0
2568-1151,2025-09,0.0
2568-1152,2025-03,81.2
2568-1152,2025-04,93.8
2568-1152,2025-05,80.0
2568-1152,2025-06,75.0
2568-1152,2025-07,81.2
2568-1152,2025-08,75.0
2568-1152,2025-09,0.0
2568-1153,2025-04,93.8
2568-1153,2025-05,65.0
2568-1153,2025-06,87.5
2568-1153,2025-07,0.0
2568-1154,2025-04,75.0
2568-1154,2025-05,0.0
2568-1155,2025-03,16.7
2568-1155,2025-04,25.0
2568-1155,2025-05,0.0
2568-1156,2025-03,68.8
2568-1156,2025-04,62.5
2568-1156,2025-05,50.0
2568-1156,2025-06,68.8
2568-1156,2025-07,62.5
2568-1156,2025-08,100.0
2568-1156,2025-09,0.0
2568-1157,2025-03,87.5
2568-1157,2025-04,68.8
2568-1157,2025-05,85.0
2568-1157,2025-06,87.5
2568-1157,2025-07,93.8
2568-1157,2025-08,50.0
2568-1157,2025-09,0.0
2568-1158,2025-03,81.2
2568-1158,2025-04,93.8
2568-1158,2025-05,75.0
2568-1158,2025-06,68.8
2568-1158,2025-07,93.8
2568-1158,2025-08,100.0
2568-1158,2025-09,0.0
2568-1159,2025-04,100.0
2568-1159,2025-05,100.0
2568-1159,2025-06,100.0
2568-1159,2025-07,100.0
2568-1159,2025-08,100.0
2568-1159,2025-09,0.0
2568-1160,2025-04,81.2
2568-1160,2025-05,85.0
2568-1160,2025-06,75.0
2568-1160,2025-07,93.8
2568-1160,2025-08,100.0
2568-1160,2025-09,0.0
uuid-2569-2001,2026-03,87.5
uuid-2569-2001,2026-04,75.0
uuid-2569-2001,2026-05,80.0
uuid-2569-2001,2026-06,87.5
uuid-2569-2001,2026-07,
uuid-2569-2001,2026-08,
uuid-2569-2001,2026-09,
uuid-2569-2002,2026-03,12.5
uuid-2569-2002,2026-04,50.0
uuid-2569-2002,2026-05,25.0
uuid-2569-2002,2026-06,0.0
uuid-2569-2003,2026-03,75.0
uuid-2569-2003,2026-04,81.2
uuid-2569-2003,2026-05,70.0
uuid-2569-2003,2026-06,75.0
uuid-2569-2003,2026-07,
uuid-2569-2003,2026-08,
uuid-2569-2003,2026-09,
uuid-2569-2004,2026-03,75.0
uuid-2569-2004,2026-04,75.0
uuid-2569-2004,2026-05,65.0
uuid-2569-2004,2026-06,62.5
uuid-2569-2004,2026-07,
uuid-2569-2004,2026-08,
uuid-2569-2004,2026-09,
uuid-2569-2005,2026-04,93.8
uuid-2569-2005,2026-05,100.0
uuid-2569-2005,2026-06,93.8
uuid-2569-2005,2026-07,
uuid-2569-2005,2026-08,
uuid-2569-2005,2026-09,
uuid-2569-2006,2026-03,56.2
uuid-2569-2006,2026-04,75.0
uuid-2569-2006,2026-05,60.0
uuid-2569-2006,2026-06,50.0
uuid-2569-2006,2026-07,
uuid-2569-2006,2026-08,
uuid-2569-2006,2026-09,
uuid-2569-2007,2026-04,83.3
uuid-2569-2007,2026-05,80.0
uuid-2569-2007,2026-06,91.7
uuid-2569-2007,2026-07,
uuid-2569-2007,2026-08,
uuid-2569-2007,2026-09,
uuid-2569-2008,2026-04,87.5
uuid-2569-2008,2026-05,90.0
uuid-2569-2008,2026-06,93.8
uuid-2569-2008,2026-07,
uuid-2569-2008,2026-08,
uuid-2569-2008,2026-09,
uuid-2569-2009,2026-03,62.5
uuid-2569-2009,2026-04,62.5
uuid-2569-2009,2026-05,0.0
uuid-2569-2010,2026-03,93.8
uuid-2569-2010,2026-04,100.0
uuid-2569-2010,2026-05,100.0
uuid-2569-2010,2026-06,100.0
